School,Abbrev. Name,h_a,set,points,Date,Time,Site,Attendance,url
"SUNY Canton
                                        ",    CANTON,Away,1,25,2013-09-27,18:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",66,https://rooathletics.com/boxscore.aspx?id=1210&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,2,25,2013-09-27,18:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",66,https://rooathletics.com/boxscore.aspx?id=1210&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,3,25,2013-09-27,18:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",66,https://rooathletics.com/boxscore.aspx?id=1210&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,1,25,2013-09-27,20:00:00,"                 Marcy, NY (Wildcat Field House)

",77,https://rooathletics.com/boxscore.aspx?id=1211&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,2,25,2013-09-27,20:00:00,"                 Marcy, NY (Wildcat Field House)

",77,https://rooathletics.com/boxscore.aspx?id=1211&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,3,20,2013-09-27,20:00:00,"                 Marcy, NY (Wildcat Field House)

",77,https://rooathletics.com/boxscore.aspx?id=1211&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,4,25,2013-09-27,20:00:00,"                 Marcy, NY (Wildcat Field House)

",77,https://rooathletics.com/boxscore.aspx?id=1211&path=wvball
"Utica
                                       ",     UTICA,Away,1,12,2013-09-27,20:00:00,"                 Marcy, NY (Wildcat Field House)

",77,https://rooathletics.com/boxscore.aspx?id=1211&path=wvball
"Utica
                                       ",     UTICA,Away,2,18,2013-09-27,20:00:00,"                 Marcy, NY (Wildcat Field House)

",77,https://rooathletics.com/boxscore.aspx?id=1211&path=wvball
"Utica
                                       ",     UTICA,Away,3,25,2013-09-27,20:00:00,"                 Marcy, NY (Wildcat Field House)

",77,https://rooathletics.com/boxscore.aspx?id=1211&path=wvball
"Utica
                                       ",     UTICA,Away,4,8,2013-09-27,20:00:00,"                 Marcy, NY (Wildcat Field House)

",77,https://rooathletics.com/boxscore.aspx?id=1211&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,1,20,2013-09-28,12:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",98,https://rooathletics.com/boxscore.aspx?id=1212&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,2,25,2013-09-28,12:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",98,https://rooathletics.com/boxscore.aspx?id=1212&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,3,16,2013-09-28,12:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",98,https://rooathletics.com/boxscore.aspx?id=1212&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,4,13,2013-09-28,12:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",98,https://rooathletics.com/boxscore.aspx?id=1212&path=wvball
"SUNYIT
                                      ",      SITW,Away,1,25,2013-09-28,12:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",98,https://rooathletics.com/boxscore.aspx?id=1212&path=wvball
"SUNYIT
                                      ",      SITW,Away,2,20,2013-09-28,12:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",98,https://rooathletics.com/boxscore.aspx?id=1212&path=wvball
